Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,City,Product_Category,Product,Quantity,Unit_Price,Discount,Payment_Method,Sales_Channel,Salesperson,Order_Status,Sales_Amount
ORD-045642,9/5/2025,CUST-00377,Omar Khalid,Female,35,DOHA,Fashion,T-Shirt,10,1381.23,0.05,Mobile Payment,Store,SP-003,Cancelled,13121.68
ORD-012131,12/21/2025,CUST-08901,Ahmed Ali,Male,62,Al Khor,Fashion,Jacket,9,272.24,0.1,Card,Online,SP-084,Completed,2205.14
ORD-005072,12/29/2025,CUST-02753,Omar Khalid,Male,30,Al Khor,Grocery,Milk,5,857.28,0,Card,Phone,SP-062,Completed,4286.4
ORD-011033,4/28/2025,CUST-09892,Sara Ahmed,Male,39,Doha,Electronics,Laptop,6,1147.53,0.1,Card,Online,SP-029,Completed,6196.66
ORD-013907,4/10/2026,CUST-05543,Mariam Ali,Female,61,Doha,Home,Bedsheet,5,1346.89,0,Card,Online,SP-007,Cancelled,6734.45
ORD-022347,3/31/2025,CUST-01968,Khalid Salem,Female,38,Mesaieed,Electronics,Monitor,8,696.27,0.1,Mobile Payment,Store,SP-088,Cancelled,5013.14
ORD-019332,6/3/2026,CUST-00795,Yousef Ibrahim,Female,59,Doha,Grocery,Milk,1,989.32,0.1,Mobile Payment,Phone,SP-020,Returned,890.39
ORD-004249,3/1/2026,CUST-08988,Ahmed Ali,Female,46,Umm Salal,Fashion,Jacket,9,1228.17,0.05,Card,Online,SP-016,Pending,10500.85
ORD-031808,6/7/2025,CUST-07059,Omar Khalid,Female,36,Al Khor,Electronics,Laptop,7,639.73,0,Card,Store,SP-020,Completed,4478.11
ORD-036754,5/11/2026,CUST-04572,Sara Ahmed,Male,42,Al Khor,Fashion,Backpack,4,1153.4,0.1,Card,Store,SP-067,Completed,4152.24
ORD-017211,4/30/2025,CUST-00662,Yousef Ibrahim,Female,61,Lusail,Home,Table,9,1275.28,0.2,Cash,Online,SP-003,Completed,9182.02
ORD-013434,4/29/2025,CUST-05436,Mariam Ali,Male,50,Doha,Food & Beverage,Juice,6,1444.61,0.1,Bank Transfer,Phone,SP-067,Completed,7800.89
ORD-002214,10/30/2025,CUST-09917,Fatima Noor,Male,56,Lusail,Fashion,T-Shirt,3,675.87,0.1,Card,Store,SP-054,Pending,1824.85
ORD-022368,5/29/2025,CUST-01719,Mohammed Hassan,Female,65,Al Wakrah,Food & Beverage,Burger,2,740.93,0.05,Bank Transfer,Store,SP-017,Completed,1407.77
ORD-008478,4/22/2026,CUST-03558,Fatima Noor,Male,43,Lusail,Food & Beverage,Coffee,4,656.46,0.05,Mobile Payment,Online,SP-097,Returned,2494.55
ORD-014101,2/25/2025,CUST-08740,Ahmed Ali,Female,64,Doha,Home,Lamp,1,996.72,0.05,Card,Store,SP-048,Completed,946.88
ORD-044269,3/20/2026,CUST-09078,Ahmed Ali,Male,36,Al Rayyan,Fashion,Shoes,9,911.25,0.05,Card,Store,SP-066,Returned,7791.19
ORD-004253,6/29/2025,CUST-09209,Omar Khalid,Female,27,Doha,Home,Lamp,1,1176.75,0.2,Bank Transfer,Store,SP-048,Cancelled,941.4
ORD-046736,5/19/2026,CUST-03059,Mohammed Hassan,Female,50,Al Khor,Electronics,Headphones,8,1450.48,0,Mobile Payment,Online,SP-011,Returned,11603.84
ORD-020469,2/6/2026,CUST-00305,Aisha Mohamed,Male,37,Al Khor,Food & Beverage,Tea,2,21.22,0.2,Mobile Payment,Online,SP-099,Cancelled,33.95
ORD-010172,10/15/2025,CUST-01502,Aisha Mohamed,Male,45,Doha,Fashion,Jacket,5,1303.16,0.15,Bank Transfer,Online,SP-034,Completed,5538.43
ORD-017732,6/8/2026,CUST-06618,Noura Hassan,Male,65,Al Khor,Fashion,Jacket,5,664.9,0,Cash,Online,SP-019,Completed,3324.5
ORD-042616,6/12/2025,CUST-00245,Aisha Mohamed,Female,45,Doha,Electronics,Smartphone,3,467.91,0.15,Mobile Payment,Online,SP-084,Returned,1193.17
ORD-040749,4/18/2026,CUST-07482,Mariam Ali,Female,65,Al Khor,Electronics,Monitor,7,850.98,0.1,Mobile Payment,Online,SP-004,Returned,5361.17
ORD-007361,10/4/2025,CUST-01819,Khalid Salem,Male,55,Doha,Fashion,Jacket,6,1226.68,0.1,Mobile Payment,Phone,SP-005,Completed,6624.07
ORD-022751,5/13/2025,CUST-05562,Ahmed Ali,Male,39,Doha,Home,Vacuum Cleaner,2,1183.78,0,Card,Online,SP-054,Completed,2367.56
ORD-021380,9/8/2025,CUST-08149,Mohammed Hassan,Male,39,Doha,Home,Bedsheet,9,729.04,0.1,Card,Store,SP-066,Completed,5905.22
ORD-037822,12/17/2025,CUST-08834,Mohammed Hassan,Female,29,Mesaieed,Fashion,Jeans,6,466.06,0.15,Cash,Store,SP-088,Completed,2376.91
ORD-003571,5/10/2026,CUST-09305,Khalid Salem,Female,65,Al Khor,Fashion,Jeans,3,1271.47,0.2,Cash,Online,SP-008,Pending,3051.53
ORD-002758,1/10/2025,CUST-05635,Noura Hassan,Female,38,Lusail,Home,Cookware,10,655.14,0,Card,Store,SP-043,Cancelled,6551.4
ORD-008405,1/31/2025,CUST-04098,Ahmed Ali,Female,31,Lusail,Fashion,T-Shirt,1,641.14,0.15,Card,Store,SP-082,Completed,544.97
ORD-024363,1/8/2025,CUST-04906,Omar Khalid,Male,54,Al Wakrah,Home,Chair,5,891.86,0,Cash,Store,SP-036,Pending,4459.3
ORD-020259,7/30/2025,CUST-09067,Sara Ahmed,Female,20,Lusail,Grocery,Water,7,1326.76,0.1,Cash,Store,SP-065,Pending,8358.59
ORD-045609,12/2/2025,CUST-04297,Omar Khalid,Male,35,Al Khor,Food & Beverage,Burger,10,1316.9,0,Cash,Online,SP-073,Cancelled,13169
ORD-041501,6/28/2026,CUST-06145,Aisha Mohamed,Male,22,Mesaieed,Fashion,Jacket,6,545.49,0.25,Cash,Online,SP-018,Cancelled,2454.7
ORD-032817,3/17/2025,CUST-00879,Fatima Noor,Female,60,Doha,Fashion,Jacket,5,864.17,0.05,Card,Store,SP-057,Completed,4104.81
ORD-019266,6/23/2025,CUST-07205,Sara Ahmed,Female,32,Al Khor,Electronics,Smartphone,2,890.3,0.1,Bank Transfer,Store,SP-037,Cancelled,1602.54
ORD-037366,5/13/2026,CUST-04550,Aisha Mohamed,Male,52,Al Rayyan,Grocery,Cooking Oil,7,272.01,0.1,Card,Store,SP-054,Completed,1713.66
ORD-004071,5/18/2025,CUST-02982,Ahmed Ali,Male,44,Al Rayyan,Electronics,Monitor,7,105.84,0,Card,Online,SP-086,Cancelled,740.88
ORD-046703,10/10/2025,CUST-08004,Mohammed Hassan,Female,20,Al Rayyan,Fashion,Dress,2,785.32,0,Mobile Payment,Phone,SP-076,Pending,1570.64
ORD-007025,10/1/2025,CUST-09708,Aisha Mohamed,Female,58,Umm Salal,Food & Beverage,Juice,9,49.12,0.1,Card,Online,SP-072,Returned,397.87
ORD-027175,2/6/2026,CUST-09941,Noura Hassan,Male,39,Mesaieed,Grocery,Rice,7,29.83,0.2,Card,Phone,SP-014,Returned,167.05
ORD-007801,10/29/2025,CUST-08103,Omar Khalid,Male,28,Al Wakrah,Food & Beverage,Juice,7,687.21,0,Card,Online,SP-062,Cancelled,4810.47
ORD-020417,1/21/2025,CUST-07503,Yousef Ibrahim,Female,18,Al Rayyan,Fashion,Backpack,10,584.18,0.15,Bank Transfer,Store,SP-035,Completed,4965.53
ORD-006683,5/19/2025,CUST-01027,Yousef Ibrahim,Male,35,Umm Salal,Fashion,Backpack,3,605.57,0,Mobile Payment,Phone,SP-066,Completed,1816.71
ORD-028534,2/20/2026,CUST-04772,Khalid Salem,Female,59,Lusail,Home,Chair,4,925.78,0.15,Bank Transfer,Online,SP-074,Pending,3147.65
ORD-039773,1/13/2026,CUST-04575,Noura Hassan,Female,61,Al Wakrah,Electronics,Headphones,10,759.5,0.05,Cash,Online,SP-090,Completed,7215.25
ORD-040570,4/24/2026,CUST-07235,Yousef Ibrahim,Female,27,Doha,Food & Beverage,Tea,2,728.16,0.1,Card,Store,SP-060,Completed,1310.69
ORD-036625,1/28/2025,CUST-01357,Omar Khalid,Male,51,Doha,Electronics,Monitor,6,808.98,0,Card,Store,SP-026,Completed,4853.88
ORD-004606,4/1/2026,CUST-08873,Mohammed Hassan,Female,22,Al Wakrah,Food & Beverage,Juice,1,564.05,0.1,Cash,Store,SP-036,Cancelled,507.64
ORD-014418,5/27/2025,CUST-03132,Khalid Salem,Male,25,Doha,Home,Table,5,381.53,0.15,Bank Transfer,Store,SP-071,Completed,1621.5
ORD-038552,1/27/2025,CUST-08411,Ahmed Ali,Female,42,Umm Salal,Home,Lamp,9,1009.11,0,Card,Online,SP-029,Pending,9081.99
ORD-043046,5/1/2025,CUST-01994,Aisha Mohamed,Male,19,Al Rayyan,Electronics,Headphones,6,246.53,0,Cash,Online,SP-090,Completed,1479.18
ORD-013520,2/18/2026,CUST-01575,Sara Ahmed,Female,18,Al Wakrah,Grocery,Rice,3,1412.06,0.05,Card,Online,SP-092,Cancelled,4024.37
ORD-029045,5/7/2026,CUST-07532,Fatima Noor,Female,29,Doha,Fashion,Dress,5,361.4,0,Bank Transfer,Online,SP-023,Completed,1807
ORD-012267,2/7/2025,CUST-00602,Mohammed Hassan,Male,20,Al Wakrah,Electronics,Tablet,10,263.55,0,Card,Online,SP-056,Completed,2635.5
ORD-040183,3/2/2025,CUST-09635,Khalid Salem,Male,35,Doha,Electronics,Keyboard,6,210.24,0.05,Mobile Payment,Online,SP-068,Completed,1198.37
ORD-036796,1/1/2026,CUST-09705,Fatima Noor,Female,59,Al Wakrah,Fashion,T-Shirt,5,837.14,0.1,Cash,Online,SP-088,Pending,3767.13
ORD-023456,7/22/2025,CUST-00482,Sara Ahmed,Male,51,Lusail,Fashion,T-Shirt,3,1273.18,0,Card,Online,SP-039,Completed,3819.54
ORD-043389,9/17/2025,CUST-01989,Khalid Salem,Female,18,Mesaieed,Fashion,Dress,6,1419.41,0,Card,Store,SP-004,Completed,8516.46
ORD-044792,2/3/2025,CUST-07371,Noura Hassan,Male,39,Al Wakrah,Home,Vacuum Cleaner,9,700.31,0.15,Card,Store,SP-015,Cancelled,5357.37
ORD-010836,4/23/2026,CUST-03355,Aisha Mohamed,Female,55,Doha,Home,Bedsheet,2,112.35,0.25,Card,Online,SP-061,Returned,168.52
ORD-016671,12/30/2025,CUST-02951,Ahmed Ali,Female,46,Al Rayyan,Electronics,Laptop,4,425.22,0.1,Card,Online,SP-069,Returned,1530.79
ORD-046435,8/31/2025,CUST-03504,Mariam Ali,Male,65,Umm Salal,Home,Lamp,7,755.36,0.1,Mobile Payment,Online,SP-022,Completed,4758.77
ORD-032441,2/18/2026,CUST-03995,Yousef Ibrahim,Male,26,Doha,Electronics,Smartphone,5,1393.24,0.05,Mobile Payment,Store,SP-006,Completed,6617.89
ORD-030730,2/7/2025,CUST-02716,Aisha Mohamed,Male,63,Doha,Food & Beverage,Tea,7,1159.24,0.2,Mobile Payment,Store,SP-073,Completed,6491.74
ORD-003403,1/25/2026,CUST-07566,Noura Hassan,Male,42,Doha,Electronics,Laptop,1,1409.74,0.1,Mobile Payment,Online,SP-039,Pending,1268.77
ORD-016702,5/8/2026,CUST-04926,Aisha Mohamed,Male,37,Umm Salal,Grocery,Water,7,645.94,0.05,Card,Online,SP-012,Pending,4295.5
ORD-018491,5/6/2025,CUST-06689,Khalid Salem,Male,45,Doha,Home,Cookware,3,348.37,0,Card,Store,SP-077,Returned,1045.11
ORD-036781,1/12/2026,CUST-02625,Ahmed Ali,Male,53,Doha,Electronics,Headphones,8,431.38,0.05,Bank Transfer,Online,SP-056,Completed,3278.49
ORD-000470,1/31/2025,CUST-02929,Omar Khalid,Female,41,Doha,Fashion,Shoes,5,1014.38,0.15,Card,Online,SP-039,Cancelled,4311.12
ORD-029286,10/13/2025,CUST-08643,Mohammed Hassan,Female,53,Doha,Food & Beverage,Tea,6,632.38,0.05,Card,Store,SP-048,Completed,3604.57
ORD-031071,2/1/2025,CUST-01845,Yousef Ibrahim,Male,49,Al Rayyan,Food & Beverage,Burger,2,520.75,0,Card,Store,SP-042,Completed,1041.5
ORD-040225,12/17/2025,CUST-01666,Omar Khalid,Male,48,Al Wakrah,Grocery,Cereal,2,946.18,0.25,Card,Online,SP-036,Pending,1419.27
ORD-041959,5/11/2025,CUST-04026,Ahmed Ali,Male,40,Doha,Grocery,Rice,9,562.5,0.1,Bank Transfer,Store,SP-004,Completed,4556.25
ORD-020561,5/29/2025,CUST-02756,Omar Khalid,Male,49,Al Rayyan,Food & Beverage,Pizza,5,812.02,0.1,Card,Store,SP-001,Completed,3654.09
ORD-032482,10/22/2025,CUST-00148,Ahmed Ali,Female,28,Umm Salal,Home,Bedsheet,8,821.28,0.15,Card,Store,SP-028,Completed,5584.7
ORD-004449,3/14/2026,CUST-06924,Mariam Ali,Male,64,Doha,Grocery,Water,6,80.25,0.15,Bank Transfer,Online,SP-074,Completed,409.28
ORD-014505,1/25/2025,CUST-09686,Omar Khalid,Female,36,Al Rayyan,Home,Chair,6,1365.61,0.1,Cash,Online,SP-050,Completed,7374.29
ORD-016294,11/25/2025,CUST-07848,Yousef Ibrahim,Female,55,Lusail,Electronics,Keyboard,7,1294.5,0.05,Card,Store,SP-034,Returned,8608.42
ORD-016870,1/22/2026,CUST-04854,Yousef Ibrahim,Male,29,Al Rayyan,Electronics,Smartphone,5,1019.98,0.2,Card,Phone,SP-074,Cancelled,4079.92
ORD-048365,7/2/2025,CUST-03115,Mariam Ali,Female,34,Al Wakrah,Electronics,Laptop,4,860.44,0.1,Card,Online,SP-050,Pending,3097.58
ORD-002997,1/18/2025,CUST-03576,Noura Hassan,Female,44,Al Rayyan,Electronics,Laptop,6,682.98,0.1,Mobile Payment,Online,SP-008,Cancelled,3688.09
ORD-036569,6/1/2026,CUST-00782,Khalid Salem,Female,27,Al Rayyan,Food & Beverage,Burger,8,992.34,0.15,Bank Transfer,Online,SP-043,Completed,6747.91
ORD-031608,6/19/2026,CUST-08863,Mohammed Hassan,Female,50,Al Wakrah,Electronics,Monitor,5,1411.48,0.15,Cash,Store,SP-011,Completed,5998.79
ORD-014846,2/15/2025,CUST-09447,Aisha Mohamed,Male,28,Al Wakrah,Food & Beverage,Juice,10,1124.94,0.05,Mobile Payment,Store,SP-032,Completed,10686.93
ORD-013206,5/23/2026,CUST-08096,Mariam Ali,Female,51,Lusail,Food & Beverage,Pizza,6,646.56,0,Mobile Payment,Online,SP-069,Completed,3879.36
ORD-044111,10/22/2025,CUST-07243,Noura Hassan,Male,20,Mesaieed,Food & Beverage,Juice,1,118.68,0,Card,Online,SP-010,Cancelled,118.68
ORD-006538,5/15/2025,CUST-04141,Sara Ahmed,Female,35,Doha,Home,Lamp,7,441.15,0.1,Cash,Phone,SP-002,Completed,2779.24
ORD-030293,5/21/2025,CUST-06567,Aisha Mohamed,Male,26,Al Rayyan,Fashion,Dress,9,1053.09,0,Mobile Payment,Store,SP-006,Returned,9477.81
ORD-018487,4/14/2025,CUST-06746,Noura Hassan,Male,23,Al Rayyan,Food & Beverage,Sandwich,3,951.31,0.1,Card,Phone,SP-026,Completed,2568.54
ORD-032503,9/13/2025,CUST-05554,Mariam Ali,Female,33,Doha,Electronics,Tablet,10,645.52,0.05,Card,Store,SP-098,Completed,6132.44
ORD-022329,10/17/2025,CUST-01303,Fatima Noor,Male,58,Al Rayyan,Fashion,Jacket,1,103.55,0,Card,Store,SP-094,Completed,103.55
ORD-001604,3/3/2026,CUST-05771,Khalid Salem,Female,47,Al Wakrah,Home,Chair,9,1297.59,0,Cash,Online,SP-002,Cancelled,11678.31
ORD-002192,5/2/2026,CUST-02844,Khalid Salem,Male,57,Al Wakrah,Food & Beverage,Sandwich,8,1179.1,0.2,Bank Transfer,Store,SP-005,Returned,7546.24
ORD-032436,2/8/2025,CUST-01661,Khalid Salem,Female,21,Doha,Home,Lamp,1,1470.78,0.1,Mobile Payment,Store,SP-072,Cancelled,1323.7
ORD-049608,5/20/2026,CUST-07798,Sara Ahmed,Male,25,Al Khor,Food & Beverage,Juice,5,719.4,0.1,Bank Transfer,Online,SP-071,Returned,3237.3
ORD-040152,9/8/2025,CUST-04485,Ahmed Ali,Male,40,Doha,Grocery,Cereal,6,28.21,0.05,Mobile Payment,Online,SP-068,Completed,160.8
ORD-044348,8/13/2025,CUST-01113,Aisha Mohamed,Female,27,Al Rayyan,Electronics,Headphones,2,1468,0.2,Card,Store,SP-055,Completed,2348.8
ORD-032743,11/17/2025,CUST-02418,Sara Ahmed,Female,54,Doha,Home,Bedsheet,5,757.74,0,Card,Store,SP-073,Cancelled,3788.7
ORD-012624,1/11/2025,CUST-05853,Omar Khalid,Female,58,Umm Salal,Electronics,Tablet,2,328.59,0.15,Card,Online,SP-030,Cancelled,558.6
ORD-033284,4/30/2026,CUST-07047,Noura Hassan,Female,25,Al Wakrah,Food & Beverage,Coffee,7,395.29,0.05,Card,Store,SP-058,Completed,2628.68
ORD-027918,9/18/2025,CUST-01495,Omar Khalid,Female,55,Lusail,Fashion,T-Shirt,1,818.35,0,Bank Transfer,Online,SP-074,Completed,818.35
ORD-040520,11/9/2025,CUST-08174,Omar Khalid,Female,42,Doha,Grocery,Water,8,947.2,0.05,Bank Transfer,Online,SP-098,Completed,7198.72
ORD-043039,4/1/2025,CUST-00453,Mohammed Hassan,Female,61,Doha,Grocery,Milk,7,1271.04,0,Card,Online,SP-065,Pending,8897.28
ORD-017820,1/2/2025,CUST-06072,Aisha Mohamed,Female,56,Mesaieed,Fashion,Jacket,7,776.65,0.15,Card,Phone,SP-039,Completed,4621.07
ORD-045760,1/15/2026,CUST-06353,Yousef Ibrahim,Female,35,Al Wakrah,Food & Beverage,Sandwich,1,1327.25,0.05,Mobile Payment,Online,SP-074,Completed,1260.89
ORD-022214,5/11/2025,CUST-07422,Mohammed Hassan,Male,19,Doha,Grocery,Milk,9,222.02,0.1,Bank Transfer,Store,SP-073,Completed,1798.36
ORD-037435,7/5/2025,CUST-06248,Mohammed Hassan,Male,61,Lusail,Fashion,Jacket,9,1180.9,0.2,Mobile Payment,Phone,SP-093,Cancelled,8502.48
ORD-048455,12/22/2025,CUST-03568,Mariam Ali,Female,20,Doha,Grocery,Cereal,3,1182.74,0,Cash,Online,SP-024,Completed,3548.22
ORD-016546,1/4/2025,CUST-09891,Fatima Noor,Female,59,Mesaieed,Fashion,Jacket,7,464.71,0.05,Card,Phone,SP-070,Pending,3090.32
ORD-043108,6/4/2026,CUST-02818,Omar Khalid,Male,34,Al Rayyan,Home,Cookware,10,151.72,0,Bank Transfer,Store,SP-085,Completed,1517.2
ORD-011225,2/12/2026,CUST-07123,Omar Khalid,Female,28,Doha,Food & Beverage,Tea,8,622.08,0.05,Bank Transfer,Phone,SP-023,Pending,4727.81
ORD-019221,2/2/2026,CUST-01617,Sara Ahmed,Male,62,Al Rayyan,Grocery,Cereal,4,313.07,0.1,Cash,Store,SP-018,Completed,1127.05
ORD-031256,11/28/2025,CUST-07474,Omar Khalid,Male,38,Al Wakrah,Fashion,Jacket,8,782.17,0.15,Card,Online,SP-084,Cancelled,5318.76
ORD-032641,2/24/2026,CUST-00736,Sara Ahmed,Female,48,Al Rayyan,Food & Beverage,Juice,5,1230.35,0,Mobile Payment,Phone,SP-020,Cancelled,6151.75
ORD-042598,12/13/2025,CUST-00130,Noura Hassan,Female,65,Al Wakrah,Grocery,Milk,6,728.59,0,Cash,Phone,SP-082,Returned,4371.54
ORD-045090,5/25/2025,CUST-07615,Mohammed Hassan,Male,46,Mesaieed,Grocery,Rice,5,815.31,0.15,Card,Store,SP-038,Completed,3465.07
ORD-002985,1/4/2026,CUST-05541,Sara Ahmed,Male,53,Doha,Food & Beverage,Juice,7,882.04,0,Cash,Online,SP-065,Pending,6174.28
ORD-032393,2/12/2025,CUST-02039,Noura Hassan,Male,52,Doha,Fashion,Jacket,3,333.84,0,Bank Transfer,Phone,SP-079,Completed,1001.52
ORD-005599,4/17/2026,CUST-09098,Omar Khalid,Male,37,Al Rayyan,Home,Vacuum Cleaner,7,1342.63,0.05,Cash,Online,SP-072,Returned,8928.49
ORD-017004,3/18/2025,CUST-02980,Mariam Ali,Male,41,Al Rayyan,Electronics,Monitor,4,59.39,0.25,Card,Online,SP-015,Cancelled,178.17
ORD-046334,1/15/2025,CUST-02385,Omar Khalid,Female,54,Al Rayyan,Grocery,Rice,3,868.88,0,Cash,Online,SP-081,Returned,2606.64
ORD-017467,7/27/2025,CUST-08162,Omar Khalid,Female,42,Doha,Food & Beverage,Pizza,3,649.24,0.1,Card,Store,SP-063,Completed,1752.95
ORD-026008,8/23/2025,CUST-09158,Khalid Salem,Male,43,Al Wakrah,Electronics,Laptop,2,1192.29,0,Mobile Payment,Online,SP-034,Cancelled,2384.58
ORD-012363,3/2/2026,CUST-01801,Mariam Ali,Female,30,Umm Salal,Home,Cookware,1,849.6,0.1,Card,Store,SP-008,Completed,764.64
ORD-016153,3/25/2025,CUST-01973,Aisha Mohamed,Male,54,Al Rayyan,Electronics,Smartphone,2,1234.11,0,Bank Transfer,Phone,SP-099,Completed,2468.22
ORD-022377,1/2/2026,CUST-02973,Fatima Noor,Female,49,Al Rayyan,Food & Beverage,Burger,8,1010.48,0.15,Card,Store,SP-091,Returned,6871.26
ORD-013478,6/17/2026,CUST-02499,Noura Hassan,Male,58,Al Rayyan,Grocery,Cereal,6,837.5,0.1,Card,Online,SP-024,Completed,4522.5
ORD-018111,2/14/2025,CUST-01182,Sara Ahmed,Female,36,Doha,Food & Beverage,Juice,4,1078.88,0.05,Card,Online,SP-062,Completed,4099.74
ORD-040269,1/22/2026,CUST-09952,Khalid Salem,Male,54,Lusail,Home,Vacuum Cleaner,2,392.33,0.1,Cash,Online,SP-035,Completed,706.19
ORD-037579,2/5/2025,CUST-07686,Khalid Salem,Female,62,Lusail,Home,Table,5,1058.95,0.15,Card,Online,SP-081,Completed,4500.54
ORD-003211,1/18/2025,CUST-04740,Aisha Mohamed,Female,51,Al Khor,Home,Table,9,1439.23,0.05,Card,Online,SP-048,Completed,12305.42
ORD-005216,11/25/2025,CUST-09679,Yousef Ibrahim,Male,64,Doha,Food & Beverage,Pizza,1,133.71,0,Cash,Phone,SP-084,Completed,133.71
ORD-034256,3/5/2025,CUST-01187,Aisha Mohamed,Female,36,Mesaieed,Electronics,Smartphone,9,1025.2,0.25,Mobile Payment,Online,SP-091,Pending,6920.1
