"order_id"|"order_date"|"customer_id"|"customer_name"|"gender"|"age"|"city"|"product_category"|"product"|"quantity"|"unit_price"|"discount"|"payment_method"|"sales_channel"|"salesperson"|"order_status"|"sales_amount"|"net_sales_calc"|"sales_variance"|"year"|"month"
"ORD-000012"|"2025-12-12"|"CUST-05193"|"Sara Ahmed"|"Male"|41|"Mesaieed"|"Fashion"|"Dress"|3|1238.76|0.0|"Bank Transfer"|"Online"|"SP-094"|"Completed"|3716.28|3716.28|0.0|2025|12
"ORD-000013"|"2025-09-06"|"CUST-08895"|"Aisha Mohamed"|"Female"|25|"Lusail"|"Electronics"|"Monitor"|2|518.02|0.1|"Card"|"Store"|"SP-023"|"Cancelled"|932.44|932.44|0.0|2025|9
"ORD-000014"|"2026-01-22"|"CUST-05427"|"Yousef Ibrahim"|"Female"|42|"Al Khor"|"Electronics"|"Monitor"|9|9.82|0.1|"Bank Transfer"|"Store"|"SP-013"|"Cancelled"|79.54|79.54|0.0|2026|1
"ORD-000015"|"2025-12-29"|"CUST-05325"|"Ahmed Ali"|"Female"|62|"Al Khor"|"Fashion"|"Backpack"|4|514.18|0.15|"Bank Transfer"|"Store"|"SP-077"|"Completed"|1748.21|1748.21|0.0|2025|12
"ORD-000016"|"2025-10-23"|"CUST-06724"|"Aisha Mohamed"|"Male"|64|"Mesaieed"|"Fashion"|"Shoes"|4|961.97|0.15|"Mobile Payment"|"Store"|"SP-067"|"Cancelled"|3270.7|3270.7|0.0|2025|10
"ORD-000017"|"2025-03-09"|"CUST-01290"|"Fatima Noor"|"Female"|42|"Al Wakrah"|"Food & Beverage"|"Sandwich"|5|1017.49|0.1|"Bank Transfer"|"Phone"|"SP-069"|"Completed"|4578.7|4578.71|-0.01|2025|3
"ORD-000018"|"2026-03-14"|"CUST-05498"|"Aisha Mohamed"|"Female"|20|"Al Rayyan"|"Electronics"|"Headphones"|7|248.65|0.1|"Mobile Payment"|"Store"|"SP-009"|"Completed"|1566.5|1566.5|0.01|2026|3
"ORD-000019"|"2026-06-16"|"CUST-03967"|"Aisha Mohamed"|"Female"|41|"Doha"|"Fashion"|"Backpack"|9|1337.24|0.1|"Mobile Payment"|"Online"|"SP-084"|"Completed"|10831.64|10831.64|0.0|2026|6
"ORD-000020"|"2025-05-13"|"CUST-04850"|"Fatima Noor"|"Male"|65|"Doha"|"Food & Beverage"|"Juice"|1|1423.95|0.2|"Card"|"Store"|"SP-095"|"Completed"|1139.16|1139.16|0.0|2025|5
"ORD-000021"|"2025-10-22"|"CUST-09131"|"Sara Ahmed"|"Female"|27|"Doha"|"Fashion"|"Jacket"|3|263.47|0.15|"Card"|"Phone"|"SP-004"|"Completed"|671.85|671.85|0.0|2025|10
"ORD-000022"|"2025-10-23"|"CUST-07825"|"Aisha Mohamed"|"Female"|25|"Doha"|"Fashion"|"Shoes"|1|236.75|0.0|"Cash"|"Store"|"SP-017"|"Completed"|236.75|236.75|0.0|2025|10
"ORD-000023"|"2025-02-02"|"CUST-09883"|"Omar Khalid"|"Male"|36|"Mesaieed"|"Food & Beverage"|"Tea"|3|841.83|0.2|"Card"|"Store"|"SP-056"|"Completed"|2020.39|2020.39|0.0|2025|2
"ORD-000024"|"2026-01-09"|"CUST-01302"|"Sara Ahmed"|"Female"|40|"Al Khor"|"Fashion"|"Backpack"|4|691.22|0.1|"Bank Transfer"|"Online"|"SP-034"|"Completed"|2488.39|2488.39|0.0|2026|1
"ORD-000025"|"2025-02-01"|"CUST-05921"|"Fatima Noor"|"Male"|19|"Al Wakrah"|"Electronics"|"Tablet"|5|1355.94|0.1|"Card"|"Store"|"SP-059"|"Completed"|6101.73|6101.73|0.0|2025|2
"ORD-000026"|"2025-11-01"|"CUST-03546"|"Mohammed Hassan"|"Female"|27|"Al Rayyan"|"Grocery"|"Water"|9|342.32|0.05|"Bank Transfer"|"Online"|"SP-078"|"Completed"|2926.84|2926.84|0.0|2025|11
"ORD-000027"|"2025-04-18"|"CUST-01279"|"Mariam Ali"|"Male"|54|"Lusail"|"Food & Beverage"|"Pizza"|4|449.72|0.25|"Mobile Payment"|"Store"|"SP-024"|"Completed"|1349.16|1349.16|0.0|2025|4
"ORD-000028"|"2025-04-06"|"CUST-07078"|"Yousef Ibrahim"|"Male"|41|"Al Rayyan"|"Food & Beverage"|"Tea"|5|334.25|0.0|"Card"|"Online"|"SP-029"|"Returned"|1671.25|1671.25|0.0|2025|4
"ORD-000029"|"2025-03-07"|"CUST-08549"|"Sara Ahmed"|"Female"|65|"Doha"|"Grocery"|"Cooking Oil"|10|307.53|0.05|"Cash"|"Phone"|"SP-033"|"Completed"|2921.53|2921.54|-0.01|2025|3
"ORD-000030"|"2026-06-05"|"CUST-08315"|"Sara Ahmed"|"Female"|28|"Al Wakrah"|"Fashion"|"Shoes"|3|405.44|0.15|"Bank Transfer"|"Online"|"SP-047"|"Pending"|1033.87|1033.87|0.0|2026|6
"ORD-000031"|"2025-08-18"|"CUST-08506"|"Omar Khalid"|"Male"|45|"Mesaieed"|"Food & Beverage"|"Coffee"|1|998.36|0.1|"Mobile Payment"|"Store"|"SP-095"|"Completed"|898.52|898.52|0.0|2025|8
"ORD-000032"|"2025-12-24"|"CUST-02319"|"Sara Ahmed"|"Female"|26|"Al Khor"|"Electronics"|"Tablet"|7|110.23|0.15|"Card"|"Online"|"SP-060"|"Completed"|655.87|655.87|0.0|2025|12
"ORD-000033"|"2026-02-06"|"CUST-05302"|"Noura Hassan"|"Female"|30|"Al Wakrah"|"Grocery"|"Milk"|2|727.63|0.0|"Bank Transfer"|"Store"|"SP-084"|"Completed"|1455.26|1455.26|0.0|2026|2
"ORD-000034"|"2025-04-09"|"CUST-08832"|"Mariam Ali"|"Female"|55|"Umm Salal"|"Fashion"|"Jacket"|7|468.28|0.0|"Cash"|"Online"|"SP-052"|"Cancelled"|3277.96|3277.96|0.0|2025|4
"ORD-000035"|"2025-09-28"|"CUST-03151"|"Mohammed Hassan"|"Male"|45|"Doha"|"Grocery"|"Cereal"|1|1458.66|0.0|"Mobile Payment"|"Online"|"SP-068"|"Pending"|1458.66|1458.66|0.0|2025|9
"ORD-000036"|"2025-12-28"|"CUST-06202"|"Omar Khalid"|"Female"|52|"Umm Salal"|"Electronics"|"Tablet"|5|668.9|0.0|"Card"|"Online"|"SP-078"|"Completed"|3344.5|3344.5|0.0|2025|12
"ORD-000037"|"2025-06-13"|"CUST-06069"|"Noura Hassan"|"Male"|54|"Al Khor"|"Grocery"|"Rice"|8|488.56|0.0|"Mobile Payment"|"Phone"|"SP-050"|"Completed"|3908.48|3908.48|0.0|2025|6
"ORD-000038"|"2026-06-12"|"CUST-03578"|"Noura Hassan"|"Male"|55|"Doha"|"Home"|"Bedsheet"|7|743.97|0.1|"Mobile Payment"|"Online"|"SP-057"|"Completed"|4687.01|4687.01|0.0|2026|6
"ORD-000039"|"2025-06-18"|"CUST-05917"|"Mariam Ali"|"Female"|38|"Lusail"|"Grocery"|"Bread"|5|232.21|0.1|"Card"|"Online"|"SP-035"|"Pending"|1044.94|1044.95|-0.01|2025|6
"ORD-000040"|"2025-01-21"|"CUST-09633"|"Sara Ahmed"|"Female"|22|"Doha"|"Grocery"|"Bread"|9|496.0|0.0|"Bank Transfer"|"Store"|"SP-013"|"Completed"|4464.0|4464.0|0.0|2025|1
"ORD-000041"|"2026-06-24"|"CUST-08750"|"Ahmed Ali"|"Male"|57|"Lusail"|"Electronics"|"Keyboard"|4|766.94|0.1|"Cash"|"Store"|"SP-011"|"Completed"|2760.98|2760.98|0.0|2026|6
"ORD-000042"|"2026-02-01"|"CUST-06864"|"Omar Khalid"|"Male"|37|"Doha"|"Grocery"|"Cooking Oil"|3|1151.93|0.2|"Card"|"Online"|"SP-096"|"Completed"|2764.63|2764.63|0.0|2026|2
"ORD-000043"|"2025-02-05"|"CUST-04094"|"Omar Khalid"|"Male"|58|"Mesaieed"|"Grocery"|"Cooking Oil"|2|902.64|0.1|"Cash"|"Online"|"SP-043"|"Cancelled"|1624.75|1624.75|0.0|2025|2
"ORD-000044"|"2026-05-10"|"CUST-00866"|"Yousef Ibrahim"|"Male"|54|"Doha"|"Home"|"Cookware"|7|192.24|0.0|"Cash"|"Store"|"SP-027"|"Completed"|1345.68|1345.68|0.0|2026|5
"ORD-000045"|"2025-11-10"|"CUST-08277"|"Fatima Noor"|"Female"|29|"Doha"|"Home"|"Lamp"|5|1490.61|0.0|"Card"|"Store"|"SP-078"|"Completed"|7453.05|7453.05|0.0|2025|11
"ORD-000046"|"2026-05-05"|"CUST-00519"|"Fatima Noor"|"Female"|19|"Doha"|"Grocery"|"Water"|1|642.79|0.1|"Mobile Payment"|"Store"|"SP-052"|"Cancelled"|578.51|578.51|0.0|2026|5
"ORD-000047"|"2025-10-03"|"CUST-02540"|"Sara Ahmed"|"Female"|20|"Al Wakrah"|"Grocery"|"Water"|7|412.11|0.05|"Cash"|"Online"|"SP-100"|"Pending"|2740.53|2740.53|0.0|2025|10
"ORD-000048"|"2025-08-21"|"CUST-03357"|"Omar Khalid"|"Male"|45|"Doha"|"Home"|"Lamp"|5|153.06|0.0|"Card"|"Phone"|"SP-022"|"Completed"|765.3|765.3|0.0|2025|8
"ORD-000049"|"2026-03-12"|"CUST-05169"|"Yousef Ibrahim"|"Female"|36|"Al Rayyan"|"Grocery"|"Water"|3|460.39|0.15|"Mobile Payment"|"Online"|"SP-073"|"Cancelled"|1173.99|1173.99|0.0|2026|3
"ORD-000050"|"2025-01-06"|"CUST-04935"|"Sara Ahmed"|"Male"|35|"Al Rayyan"|"Fashion"|"T-Shirt"|9|1443.09|0.0|"Card"|"Online"|"SP-027"|"Completed"|12987.81|12987.81|0.0|2025|1
"ORD-000051"|"2026-06-19"|"CUST-02894"|"Yousef Ibrahim"|"Female"|46|"Al Wakrah"|"Electronics"|"Tablet"|3|161.76|0.1|"Card"|"Online"|"SP-058"|"Completed"|436.75|436.75|0.0|2026|6
"ORD-000052"|"2025-09-01"|"CUST-07000"|"Khalid Salem"|"Male"|22|"Doha"|"Fashion"|"Dress"|6|1178.73|0.15|"Bank Transfer"|"Online"|"SP-006"|"Returned"|6011.52|6011.52|0.0|2025|9
"ORD-000053"|"2025-08-29"|"CUST-07603"|"Omar Khalid"|"Female"|42|"Doha"|"Fashion"|"Jeans"|10|1428.34|0.0|"Card"|"Online"|"SP-020"|"Completed"|14283.4|14283.4|0.0|2025|8
"ORD-000054"|"2025-09-30"|"CUST-06024"|"Mohammed Hassan"|"Male"|20|"Al Rayyan"|"Grocery"|"Rice"|3|818.72|0.1|"Mobile Payment"|"Store"|"SP-051"|"Completed"|2210.54|2210.54|0.0|2025|9
"ORD-000055"|"2025-03-16"|"CUST-01404"|"Noura Hassan"|"Male"|22|"Mesaieed"|"Food & Beverage"|"Juice"|4|1060.0|0.0|"Card"|"Online"|"SP-057"|"Returned"|4240.0|4240.0|0.0|2025|3
"ORD-000056"|"2025-10-10"|"CUST-07263"|"Noura Hassan"|"Male"|25|"Mesaieed"|"Food & Beverage"|"Burger"|7|1310.13|0.1|"Card"|"Online"|"SP-066"|"Completed"|8253.82|8253.82|0.0|2025|10
"ORD-000057"|"2026-06-19"|"CUST-05071"|"Aisha Mohamed"|"Male"|20|"Al Rayyan"|"Fashion"|"T-Shirt"|7|82.93|0.05|"Cash"|"Online"|"SP-002"|"Returned"|551.48|551.48|0.0|2026|6
"ORD-000058"|"2025-03-28"|"CUST-00527"|"Khalid Salem"|"Female"|39|"Doha"|"Electronics"|"Laptop"|1|1322.67|0.15|"Card"|"Store"|"SP-092"|"Cancelled"|1124.27|1124.27|0.0|2025|3
"ORD-000059"|"2025-05-29"|"CUST-03763"|"Sara Ahmed"|"Male"|36|"Lusail"|"Fashion"|"Shoes"|7|507.54|0.0|"Bank Transfer"|"Phone"|"SP-055"|"Pending"|3552.78|3552.78|0.0|2025|5
"ORD-000060"|"2025-05-30"|"CUST-05154"|"Khalid Salem"|"Male"|60|"Doha"|"Electronics"|"Smartphone"|8|913.38|0.25|"Card"|"Phone"|"SP-088"|"Completed"|5480.28|5480.28|0.0|2025|5
"ORD-000061"|"2025-06-09"|"CUST-05878"|"Fatima Noor"|"Male"|60|"Doha"|"Electronics"|"Laptop"|9|1368.13|0.0|"Bank Transfer"|"Store"|"SP-064"|"Completed"|12313.17|12313.17|0.0|2025|6
"ORD-000062"|"2026-03-22"|"CUST-07382"|"Aisha Mohamed"|"Male"|37|"Al Rayyan"|"Home"|"Vacuum Cleaner"|9|606.14|0.0|"Card"|"Online"|"SP-064"|"Completed"|5455.26|5455.26|0.0|2026|3
"ORD-000063"|"2025-03-23"|"CUST-07180"|"Mariam Ali"|"Female"|37|"Lusail"|"Food & Beverage"|"Sandwich"|10|1023.75|0.2|"Cash"|"Phone"|"SP-022"|"Completed"|8190.0|8190.0|0.0|2025|3
"ORD-000064"|"2025-01-07"|"CUST-03757"|"Ahmed Ali"|"Male"|38|"Umm Salal"|"Grocery"|"Rice"|5|1491.18|0.0|"Card"|"Online"|"SP-095"|"Returned"|7455.9|7455.9|0.0|2025|1
"ORD-000065"|"2025-07-01"|"CUST-04767"|"Aisha Mohamed"|"Female"|61|"Al Rayyan"|"Grocery"|"Cooking Oil"|3|457.02|0.15|"Card"|"Phone"|"SP-058"|"Pending"|1165.4|1165.4|0.0|2025|7
"ORD-000066"|"2026-06-10"|"CUST-03894"|"Yousef Ibrahim"|"Female"|45|"Mesaieed"|"Home"|"Table"|3|638.18|0.1|"Bank Transfer"|"Online"|"SP-053"|"Returned"|1723.09|1723.09|0.0|2026|6
"ORD-000067"|"2026-04-23"|"CUST-09456"|"Khalid Salem"|"Male"|36|"Umm Salal"|"Home"|"Vacuum Cleaner"|9|39.21|0.0|"Bank Transfer"|"Online"|"SP-054"|"Returned"|352.89|352.89|0.0|2026|4
"ORD-000068"|"2025-07-02"|"CUST-07240"|"Omar Khalid"|"Male"|56|"Lusail"|"Grocery"|"Milk"|9|745.46|0.25|"Cash"|"Online"|"SP-044"|"Completed"|5031.86|5031.86|0.01|2025|7
"ORD-000069"|"2025-11-10"|"CUST-09020"|"Khalid Salem"|"Male"|39|"Doha"|"Electronics"|"Smartphone"|6|1360.64|0.1|"Card"|"Online"|"SP-091"|"Completed"|7347.46|7347.46|0.0|2025|11
"ORD-000070"|"2025-06-23"|"CUST-00284"|"Aisha Mohamed"|"Male"|18|"Al Khor"|"Grocery"|"Milk"|7|559.98|0.0|"Mobile Payment"|"Phone"|"SP-032"|"Completed"|3919.86|3919.86|0.0|2025|6
"ORD-000071"|"2025-01-14"|"CUST-03989"|"Yousef Ibrahim"|"Female"|43|"Doha"|"Fashion"|"Shoes"|6|375.36|0.15|"Cash"|"Phone"|"SP-021"|"Completed"|1914.34|1914.34|0.0|2025|1
"ORD-000072"|"2025-10-27"|"CUST-07627"|"Aisha Mohamed"|"Female"|29|"Al Khor"|"Food & Beverage"|"Tea"|9|1228.49|0.2|"Unknown"|"Online"|"SP-084"|"Completed"|8845.13|8845.13|0.0|2025|10
"ORD-000073"|"2025-03-14"|"CUST-05591"|"Aisha Mohamed"|"Male"|38|"Al Rayyan"|"Fashion"|"Jeans"|10|42.15|0.15|"Mobile Payment"|"Online"|"SP-022"|"Pending"|358.28|358.28|0.01|2025|3
"ORD-000074"|"2026-05-29"|"CUST-04330"|"Mariam Ali"|"Female"|23|"Mesaieed"|"Grocery"|"Cooking Oil"|9|1073.01|0.2|"Cash"|"Online"|"SP-058"|"Completed"|7725.67|7725.67|0.0|2026|5
"ORD-000075"|"2025-12-09"|"CUST-08525"|"Fatima Noor"|"Male"|62|"Doha"|"Home"|"Lamp"|7|1082.87|0.1|"Card"|"Online"|"SP-064"|"Cancelled"|6822.08|6822.08|0.0|2025|12
"ORD-000076"|"2026-01-31"|"CUST-04139"|"Fatima Noor"|"Female"|19|"Al Rayyan"|"Grocery"|"Cooking Oil"|9|606.71|0.1|"Card"|"Online"|"SP-035"|"Completed"|4914.35|4914.35|0.0|2026|1
"ORD-000077"|"2025-11-29"|"CUST-09627"|"Mariam Ali"|"Female"|59|"Mesaieed"|"Electronics"|"Laptop"|7|263.31|0.1|"Mobile Payment"|"Online"|"SP-068"|"Completed"|1658.85|1658.85|0.0|2025|11
"ORD-000078"|"2025-12-21"|"CUST-00791"|"Mariam Ali"|"Male"|47|"Lusail"|"Electronics"|"Tablet"|7|1193.38|0.05|"Bank Transfer"|"Phone"|"SP-014"|"Completed"|7935.98|7935.98|0.0|2025|12
"ORD-000079"|"2025-06-12"|"CUST-04851"|"Aisha Mohamed"|"Male"|22|"Doha"|"Grocery"|"Cereal"|1|291.6|0.0|"Mobile Payment"|"Phone"|"SP-068"|"Completed"|291.6|291.6|0.0|2025|6
"ORD-000080"|"2025-04-26"|"CUST-02283"|"Mohammed Hassan"|"Female"|56|"Umm Salal"|"Electronics"|"Headphones"|10|649.24|0.15|"Bank Transfer"|"Online"|"SP-099"|"Cancelled"|5518.54|5518.54|0.0|2025|4
"ORD-000081"|"2026-02-07"|"CUST-03366"|"Khalid Salem"|"Female"|50|"Lusail"|"Home"|"Lamp"|1|45.55|0.15|"Cash"|"Online"|"SP-094"|"Completed"|38.72|38.72|0.0|2026|2
"ORD-000082"|"2025-03-20"|"CUST-02300"|"Mariam Ali"|"Female"|54|"Lusail"|"Food & Beverage"|"Juice"|10|850.03|0.15|"Card"|"Online"|"SP-055"|"Completed"|7225.25|7225.26|-0.01|2025|3
"ORD-000083"|"2026-03-23"|"CUST-04137"|"Khalid Salem"|"Female"|25|"Al Khor"|"Home"|"Table"|5|1398.22|0.0|"Card"|"Online"|"SP-026"|"Completed"|6991.1|6991.1|0.0|2026|3
"ORD-000084"|"2025-01-08"|"CUST-01324"|"Fatima Noor"|"Male"|57|"Lusail"|"Home"|"Bedsheet"|3|460.43|0.0|"Bank Transfer"|"Online"|"SP-075"|"Cancelled"|1381.29|1381.29|0.0|2025|1
"ORD-000085"|"2025-01-23"|"CUST-04881"|"Noura Hassan"|"Male"|61|"Lusail"|"Food & Beverage"|"Sandwich"|8|561.27|0.15|"Card"|"Phone"|"SP-008"|"Returned"|3816.64|3816.64|0.0|2025|1
"ORD-000086"|"2026-06-27"|"CUST-07959"|"Khalid Salem"|"Female"|52|"Doha"|"Home"|"Vacuum Cleaner"|3|1110.45|0.1|"Card"|"Store"|"SP-059"|"Completed"|2998.22|2998.22|0.01|2026|6
"ORD-000087"|"2026-02-18"|"CUST-00281"|"Mohammed Hassan"|"Male"|53|"Lusail"|"Electronics"|"Headphones"|4|1221.14|0.05|"Mobile Payment"|"Online"|"SP-013"|"Returned"|4640.33|4640.33|0.0|2026|2
"ORD-000088"|"2026-02-13"|"CUST-03590"|"Ahmed Ali"|"Female"|38|"Mesaieed"|"Food & Beverage"|"Sandwich"|4|432.31|0.0|"Card"|"Phone"|"SP-056"|"Returned"|1729.24|1729.24|0.0|2026|2
"ORD-000089"|"2025-01-22"|"CUST-02506"|"Aisha Mohamed"|"Male"|45|"Doha"|"Food & Beverage"|"Tea"|1|360.77|0.1|"Card"|"Store"|"SP-030"|"Completed"|324.69|324.69|0.0|2025|1
"ORD-000090"|"2026-02-07"|"CUST-04584"|"Noura Hassan"|"Female"|25|"Doha"|"Grocery"|"Water"|6|604.25|0.05|"Card"|"Store"|"SP-050"|"Pending"|3444.22|3444.23|-0.01|2026|2
"ORD-000091"|"2025-06-06"|"CUST-09038"|"Sara Ahmed"|"Male"|49|"Doha"|"Food & Beverage"|"Pizza"|1|1121.83|0.1|"Card"|"Store"|"SP-009"|"Completed"|1009.65|1009.65|0.0|2025|6
"ORD-000092"|"2025-11-26"|"CUST-00407"|"Ahmed Ali"|"Male"|19|"Umm Salal"|"Fashion"|"Jacket"|9|386.65|0.15|"Mobile Payment"|"Phone"|"SP-030"|"Cancelled"|2957.87|2957.87|0.0|2025|11
"ORD-000093"|"2025-01-22"|"CUST-01299"|"Mohammed Hassan"|"Female"|26|"Doha"|"Electronics"|"Keyboard"|3|1137.58|0.0|"Bank Transfer"|"Phone"|"SP-068"|"Cancelled"|3412.74|3412.74|0.0|2025|1
"ORD-000094"|"2026-04-17"|"CUST-06069"|"Mohammed Hassan"|"Female"|51|"Doha"|"Food & Beverage"|"Sandwich"|3|748.34|0.15|"Card"|"Online"|"SP-042"|"Completed"|1908.27|1908.27|0.0|2026|4
"ORD-000095"|"2025-09-21"|"CUST-05023"|"Fatima Noor"|"Male"|26|"Al Rayyan"|"Fashion"|"Jacket"|2|306.71|0.0|"Bank Transfer"|"Phone"|"SP-025"|"Completed"|613.42|613.42|0.0|2025|9
"ORD-000096"|"2025-10-30"|"CUST-08679"|"Mariam Ali"|"Male"|26|"Al Khor"|"Grocery"|"Cereal"|10|707.37|0.05|"Bank Transfer"|"Store"|"SP-048"|"Completed"|6720.02|6720.02|0.01|2025|10
"ORD-000097"|"2026-04-10"|"CUST-00806"|"Fatima Noor"|"Female"|44|"Al Rayyan"|"Home"|"Vacuum Cleaner"|9|345.9|0.0|"Card"|"Online"|"SP-064"|"Completed"|3113.1|3113.1|0.0|2026|4
"ORD-000098"|"2025-06-13"|"CUST-09619"|"Fatima Noor"|"Male"|54|"Lusail"|"Grocery"|"Milk"|1|94.13|0.15|"Bank Transfer"|"Online"|"SP-057"|"Pending"|80.01|80.01|0.0|2025|6
"ORD-000099"|"2025-05-16"|"CUST-03457"|"Sara Ahmed"|"Male"|37|"Doha"|"Electronics"|"Tablet"|4|868.79|0.0|"Card"|"Store"|"SP-076"|"Completed"|3475.16|3475.16|0.0|2025|5
"ORD-000100"|"2025-09-09"|"CUST-09593"|"Khalid Salem"|"Female"|29|"Al Rayyan"|"Food & Beverage"|"Tea"|1|1357.14|0.0|"Card"|"Online"|"SP-030"|"Completed"|1357.14|1357.14|0.0|2025|9
"ORD-000101"|"2025-07-24"|"CUST-06714"|"Mohammed Hassan"|"Male"|62|"Mesaieed"|"Electronics"|"Keyboard"|10|623.14|0.2|"Bank Transfer"|"Store"|"SP-061"|"Completed"|4985.12|4985.12|0.0|2025|7
"ORD-000102"|"2025-10-29"|"CUST-08529"|"Mariam Ali"|"Female"|19|"Doha"|"Grocery"|"Water"|9|376.5|0.15|"Card"|"Online"|"SP-057"|"Completed"|2880.22|2880.23|-0.01|2025|10
"ORD-000103"|"2025-08-30"|"CUST-04706"|"Fatima Noor"|"Female"|28|"Doha"|"Food & Beverage"|"Sandwich"|8|1210.32|0.0|"Card"|"Store"|"SP-084"|"Completed"|9682.56|9682.56|0.0|2025|8
"ORD-000104"|"2025-03-02"|"CUST-08929"|"Ahmed Ali"|"Male"|62|"Umm Salal"|"Home"|"Table"|7|848.13|0.15|"Card"|"Online"|"SP-027"|"Cancelled"|5046.37|5046.37|0.0|2025|3
"ORD-000105"|"2026-04-10"|"CUST-07084"|"Yousef Ibrahim"|"Male"|21|"Doha"|"Home"|"Cookware"|8|439.96|0.05|"Cash"|"Online"|"SP-077"|"Completed"|3343.7|3343.7|0.0|2026|4
"ORD-000106"|"2025-10-29"|"CUST-00251"|"Mohammed Hassan"|"Female"|45|"Mesaieed"|"Home"|"Lamp"|1|1062.16|0.1|"Card"|"Store"|"SP-047"|"Cancelled"|955.94|955.94|0.0|2025|10
"ORD-000107"|"2026-04-17"|"CUST-05477"|"Omar Khalid"|"Female"|37|"Mesaieed"|"Electronics"|"Headphones"|4|38.11|0.25|"Cash"|"Store"|"SP-010"|"Returned"|114.33|114.33|0.0|2026|4
"ORD-000108"|"2026-01-29"|"CUST-02264"|"Fatima Noor"|"Female"|44|"Al Rayyan"|"Home"|"Table"|4|1024.53|0.0|"Card"|"Store"|"SP-009"|"Completed"|4098.12|4098.12|0.0|2026|1
"ORD-000109"|"2025-09-16"|"CUST-02480"|"Yousef Ibrahim"|"Male"|19|"Al Rayyan"|"Fashion"|"Dress"|9|794.61|0.25|"Card"|"Online"|"SP-040"|"Pending"|5363.62|5363.62|0.0|2025|9
"ORD-000110"|"2026-06-26"|"CUST-03789"|"Mohammed Hassan"|"Female"|42|"Al Wakrah"|"Grocery"|"Cooking Oil"|5|238.33|0.25|"Card"|"Online"|"SP-067"|"Completed"|893.74|893.74|0.0|2026|6
"ORD-000111"|"2026-06-14"|"CUST-08730"|"Omar Khalid"|"Male"|23|"Al Rayyan"|"Grocery"|"Rice"|1|1409.69|0.05|"Cash"|"Online"|"SP-037"|"Completed"|1339.21|1339.21|0.0|2026|6
"ORD-000112"|"2025-07-06"|"CUST-05164"|"Omar Khalid"|"Male"|45|"Lusail"|"Grocery"|"Water"|5|872.7|0.2|"Card"|"Phone"|"SP-068"|"Pending"|3490.8|3490.8|0.0|2025|7
"ORD-000113"|"2025-07-31"|"CUST-05993"|"Sara Ahmed"|"Male"|56|"Al Rayyan"|"Electronics"|"Headphones"|9|311.77|0.0|"Bank Transfer"|"Phone"|"SP-054"|"Returned"|2805.93|2805.93|0.0|2025|7
